cls,n_edges,max_stat,null_kind
head_neuron,2875392,0.3055883049964905,scored
neuron_head_K,2433024,0.3925802409648895,scored
neuron_head_Q,2433024,0.27006739377975464,scored
neuron_head_V,2433024,0.43864551186561584,scored
head_head_K,9504,0.20915216994471927,raw
head_head_Q,9504,0.10758041539148504,raw
head_head_V,9504,0.1119869972815136,raw
emb_head_K,144,0.07465724727416237,rotation-dense
emb_head_Q,144,0.08227861057273265,rotation-dense
emb_head_V,144,0.12147194936067782,rotation-dense
pos_head_K,144,0.060425094375373176,rotation-dense
pos_head_Q,144,0.08959226814655323,rotation-dense
pos_head_V,144,0.09644362077282191,rotation-dense
head_unembed,144,0.04227694276908536,rotation-dense
emb_neuron,36864,0.8328984674450521,sphere-dense
pos_neuron,36864,0.2310301086532448,sphere-dense
neuron_unembed,36864,0.20802168813228658,sphere-dense
neuron_neuron,622854144,0.7863435745239258,exact-law
