cls,n_edges,max_stat,null_kind
head_neuron,68198400,0.4063243269920349,scored
neuron_head_K,64512000,0.41120028495788574,scored
neuron_head_Q,64512000,0.4828600585460663,scored
neuron_head_V,64512000,0.3557502329349518,scored
head_head_K,252000,0.24122002614929525,raw
head_head_Q,252000,0.24080329714365115,raw
head_head_V,252000,0.1747377496603475,raw
emb_head_K,720,0.05984237347920704,rotation-dense
emb_head_Q,720,0.09792485683257289,rotation-dense
emb_head_V,720,0.16105679812177448,rotation-dense
pos_head_K,720,0.18877460432295476,rotation-dense
pos_head_Q,720,0.12414187570852633,rotation-dense
pos_head_V,720,0.1393574022239745,rotation-dense
head_unembed,720,0.039351607285918626,rotation-dense
emb_neuron,184320,0.20956943340230477,sphere-dense
pos_neuron,184320,0.32179600551199433,sphere-dense
neuron_unembed,184320,0.10398660746786838,sphere-dense
neuron_neuron,16515072000,0.8724886775016785,exact-law
