cls,n_edges,max_stat,null_kind
head_neuron,19660800,0.45254066586494446,scored
neuron_head_K,18087936,0.3426870107650757,scored
neuron_head_Q,18087936,0.33713725209236145,scored
neuron_head_V,18087936,0.3046967089176178,scored
head_head_K,70656,0.17119015923246061,raw
head_head_Q,70656,0.1897173476230439,raw
head_head_V,70656,0.1255305579395424,raw
emb_head_K,384,0.1619254891952169,rotation-dense
emb_head_Q,384,0.16386670667116174,rotation-dense
emb_head_V,384,0.2497048584111504,rotation-dense
pos_head_K,384,0.16733713132320943,rotation-dense
pos_head_Q,384,0.2866090486297357,rotation-dense
pos_head_V,384,0.11184786468685418,rotation-dense
head_unembed,384,0.04161243579286515,rotation-dense
emb_neuron,98304,0.3202659101046209,sphere-dense
pos_neuron,98304,0.43544610833727837,sphere-dense
neuron_unembed,98304,0.1476340357270394,sphere-dense
neuron_neuron,4630511616,0.8306451439857483,exact-law
