cls,n_edges,max_stat,null_kind
head_neuron,2875392,0.290564626455307,scored
neuron_head_K,2433024,0.3700462579727173,scored
neuron_head_Q,2433024,0.3669261634349823,scored
neuron_head_V,2433024,0.9503505825996399,scored
head_head_K,9504,0.2342845054175608,raw
head_head_Q,9504,0.235284767263705,raw
head_head_V,9504,0.2886106174752259,raw
emb_head_K,144,0.07051467728348329,rotation-dense
emb_head_Q,144,0.0931319253983547,rotation-dense
emb_head_V,144,0.10254953378608446,rotation-dense
pos_head_K,144,0.1838693403946834,rotation-dense
pos_head_Q,144,0.21156555172976793,rotation-dense
pos_head_V,144,0.11626949761322589,rotation-dense
head_unembed,144,0.043816576411499636,rotation-dense
emb_neuron,36864,0.23951727642353027,sphere-dense
pos_neuron,36864,0.32476038799965246,sphere-dense
neuron_unembed,36864,0.14326950745399092,sphere-dense
neuron_neuron,622854144,0.8932905793190002,exact-law
