cls,n_edges,max_stat,null_kind
head_neuron,173015040,0.46096494793891907,scored
neuron_head_K,162529280,0.8314873576164246,scored
neuron_head_Q,162529280,0.7710551023483276,scored
neuron_head_V,162529280,0.4189371168613434,scored
head_head_K,507904,0.30030322394587866,raw
head_head_Q,507904,0.19694624087441687,raw
head_head_V,507904,0.158406734336555,raw
emb_head_K,1024,0.03649477447599167,rotation-dense
emb_head_Q,1024,0.036866536668362065,rotation-dense
emb_head_V,1024,0.03580110983716512,rotation-dense
head_unembed,1024,0.02361655969931496,rotation-dense
emb_neuron,327680,0.051422495461289935,sphere-dense
neuron_unembed,327680,0.08699370443017161,sphere-dense
neuron_neuron,52009369600,0.8014321327209473,exact-law
