cls,n_edges,n_sig,max_stat,max_z,null_kind,map
head_neuron,2875392,99238,0.2905646081850357,37.85006754326057,bulk,raw
neuron_head_K,2433024,92929,0.3700462971304479,58.55095069859795,bulk,raw
neuron_head_Q,2433024,78968,0.36692612720685885,70.53334659900253,bulk,raw
neuron_head_V,2433024,52899,0.9503504799008219,120.11984888605674,bulk,raw
emb_neuron,36864,22611,0.23951726038758694,34.164550347850046,rotation,raw
pos_neuron,36864,394,0.324760396819093,23.905750841414193,rotation,raw
neuron_unembed,36864,2446,0.14326951971273727,73.0769821780251,rotation,raw
neuron_neuron,622854144,678668,0.8932904601097107,25.01394115903766,bulk-stream,raw
head_neuron,2875392,112701,0.3432600531570602,45.55772560612253,bulk,partial
neuron_head_K,2433024,80754,0.40912133023253217,57.593969039673105,bulk,partial
neuron_head_Q,2433024,69727,0.40409655770561415,52.022187506448056,bulk,partial
neuron_head_V,2433024,55922,0.9418567406137833,136.030282069714,bulk,partial
emb_neuron,36864,21434,0.1993844757390417,32.267706025914705,rotation,partial
pos_neuron,36864,358,0.32955945779439344,24.702963845352645,rotation,partial
neuron_unembed,36864,2956,0.14381838812515566,73.41414104570993,rotation,partial
neuron_neuron,622854144,672140,0.8946594595909119,24.620397114296765,bulk-stream,partial
