span,n,med,sd,widening
1,103809024,-0.0012395945343158046,0.03524755420583586,0.9768088756327324
2,94371840,-0.0011279172780947926,0.03514406025704756,0.9739407671914961
3,84934656,-0.000936639183172198,0.035105018391646065,0.9728588072795336
4,75497472,-0.0007564326548044927,0.03502952844341594,0.9707667684668084
5,66060288,-0.0006530177280244427,0.03508382552062599,0.9722714932096933
6,56623104,-0.0004965194781247407,0.03509361631482334,0.9725428236576334
7,47185920,-0.0003543443568705765,0.03519810105973201,0.9754383898463963
8,37748736,-9.131718744274608e-05,0.035312272742988246,0.9786024083453638
9,28311552,1.3596714749018106e-05,0.03536074705064684,0.9799457677649863
10,18874368,8.76609743424941e-05,0.03510989776548925,0.9729940284540218
11,9437184,0.0004961110915477696,0.03517773050662694,0.9748738645190962
