span,n,med,sd,widening
1,103809024,-0.0009384948200634638,0.03591791395295426,0.9953864298944618
2,94371840,-0.0007924352173191738,0.035803524343093675,0.9922163720362775
3,84934656,-0.0005962103377741262,0.03580061636759361,0.9921357838552651
4,75497472,-0.00043596455745844415,0.03576927717145413,0.991267286575554
5,66060288,-0.0003744131354653273,0.03587852083220129,0.9942947357086565
6,56623104,-0.0002699079642104885,0.0359336427291221,0.995822318525879
7,47185920,-0.00017037432293273886,0.03608354861905466,0.9999766324093514
8,37748736,6.0687818615139566e-05,0.03622409448612502,1.0038715537303065
9,28311552,0.0001563816652353258,0.03628210566506564,1.0054792066796205
10,18874368,0.00027168774079426485,0.036165971423716144,1.0022608001753677
11,9437184,0.0006033543696407626,0.03620362986437836,1.00330442149634
