cls,writer,l_w,m_w,reader,l_r,m_r,stat,cos,z,p,q,sig,acos,span
neuron_neuron,L0N1168,0,1168,L1N802,1,802,0.89329046,-0.89329046,-25.308163521533075,3.1395286344759573e-141,1.9554684201900112e-132,True,0.89329046,1
neuron_neuron,L0N2644,0,2644,L1N802,1,802,0.88044065,0.88044065,25.01394115903766,5.772627952807725e-138,1.797752621088264e-129,True,0.88044065,1
neuron_neuron,L0N1105,0,1105,L1N1303,1,1303,0.8553217,0.8553217,24.30129747084227,2.313212355702172e-130,4.802646339003665e-122,True,0.8553217,1
neuron_neuron,L0N2977,0,2977,L1N2537,1,2537,0.8525932,-0.8525932,-24.15355074032863,7.122062644664897e-129,1.1090015580142826e-120,True,0.8525932,1
neuron_neuron,L0N2418,0,2418,L1N2537,1,2537,0.84928095,-0.84928095,-24.0595802455015,7.825774714991442e-128,9.748632422485677e-120,True,0.84928095,1
neuron_neuron,L0N1993,0,1993,L1N2537,1,2537,0.84731567,-0.84731567,-24.00382362942376,3.064935230863433e-127,3.1816793493914764e-119,True,0.84731567,1
neuron_neuron,L0N2977,0,2977,L1N1303,1,1303,0.84328705,-0.84328705,-23.88952865416965,4.656115779626767e-126,4.142972868977604e-118,True,0.84328705,1
neuron_neuron,L1N242,1,242,L3N1751,3,1751,0.831949,0.831949,23.70462908312493,4.252294365713105e-124,3.3106989589903245e-116,True,0.831949,2
neuron_neuron,L0N2852,0,2852,L1N2537,1,2537,0.8282993,-0.8282993,-23.46431427886344,1.1202945972377577e-121,7.753112582114979e-114,True,0.8282993,1
neuron_neuron,L0N2898,0,2898,L1N2537,1,2537,0.8239876,-0.8239876,-23.34198860575196,2.2306050135714144e-120,1.3893415763301315e-112,True,0.8239876,1
neuron_neuron,L0N162,0,162,L1N1303,1,1303,0.82085425,0.82085425,23.32342937469877,3.1487602011074754e-120,1.7829257633836952e-112,True,0.82085425,1
neuron_neuron,L0N1612,0,1612,L3N1751,3,1751,0.8116426,0.8116426,23.14709587394626,1.6562641946699264e-118,8.596758476741554e-111,True,0.8116426,3
neuron_neuron,L0N101,0,101,L1N224,1,224,0.8122221,0.8122221,23.07852944717764,8.534272332421003e-118,4.08892837559459e-110,True,0.8122221,1
neuron_neuron,L1N2882,1,2882,L2N410,2,410,0.80812687,0.80812687,22.962343901234004,1.1678895660088956e-116,5.195891828021445e-109,True,0.80812687,1
neuron_neuron,L1N1462,1,1462,L2N1597,2,1597,0.807527,-0.807527,-22.874988897942988,1.1254694302142918e-115,4.673355323695269e-108,True,0.807527,1
neuron_neuron,L0N1422,0,1422,L1N79,1,79,0.7991906,0.7991906,22.708814651504795,4.013565920548471e-114,1.4705095093122295e-106,True,0.7991906,1
neuron_neuron,L1N2396,1,2396,L4N2903,4,2903,0.7984487,-0.7984487,-22.7178927454421,3.859832515112517e-114,1.4705095093122295e-106,True,0.7984487,3
neuron_neuron,L1N1120,1,1120,L3N1751,3,1751,0.7958414,0.7958414,22.677212231709216,9.072743419365374e-114,3.139442131222474e-106,True,0.7958414,2
neuron_neuron,L0N2852,0,2852,L1N1303,1,1303,0.80054134,-0.80054134,-22.676800271098656,1.0418969908100444e-113,3.4155255702482427e-106,True,0.80054134,1
neuron_neuron,L1N2396,1,2396,L2N1269,2,1269,0.7968374,-0.7968374,-22.571716332110935,9.877854439718751e-113,3.0762312858038114e-105,True,0.7968374,1
neuron_neuron,L0N1993,0,1993,L2N110,2,110,0.7920452,0.7920452,22.56919341436203,1.194964001022591e-112,3.5442299046082906e-105,True,0.7920452,2
neuron_neuron,L0N826,0,826,L1N2537,1,2537,0.7940319,0.7940319,22.56245945290306,1.378737330488189e-112,3.733705477313331e-105,True,0.7940319,1
neuron_neuron,L0N1993,0,1993,L1N2882,1,2882,0.796538,-0.796538,-22.563222292242006,1.3610126831251206e-112,3.733705477313331e-105,True,0.796538,1
neuron_neuron,L1N824,1,824,L2N2135,2,2135,0.791896,0.791896,22.501861420113244,4.958997411427942e-112,1.2869717032471529e-104,True,0.791896,1
neuron_neuron,L1N1120,1,1120,L2N666,2,666,0.7908027,0.7908027,22.470844561806256,9.393490372552344e-112,2.3403097620673327e-104,True,0.7908027,1
neuron_neuron,L0N2898,0,2898,L2N110,2,110,0.78774136,0.78774136,22.446731383817657,1.553669868665034e-111,3.7219604465613545e-104,True,0.78774136,2
neuron_neuron,L0N1993,0,1993,L2N410,2,410,0.7888222,-0.7888222,-22.41329689947284,3.46823664844813e-111,8.000761366142923e-104,True,0.7888222,2
neuron_neuron,L0N323,0,323,L1N79,1,79,0.78810555,0.78810555,22.39432379769932,4.622577464623017e-111,1.0282826892148068e-103,True,0.78810555,1
neuron_neuron,L0N101,0,101,L2N2830,2,2830,0.78573096,-0.78573096,-22.325338477345976,2.3475054371054318e-110,5.041908584702239e-103,True,0.78573096,2
neuron_neuron,L0N2852,0,2852,L1N2882,1,2882,0.78784835,-0.78784835,-22.31669052150496,3.0684323242104534e-110,6.244543997705314e-103,True,0.78784835,1
neuron_neuron,L1N2401,1,2401,L2N666,2,666,0.78553003,0.78553003,22.321254424269767,3.1079646140857137e-110,6.244543997705314e-103,True,0.78553003,1
neuron_neuron,L1N1462,1,1462,L3N1612,3,1612,0.7828955,0.7828955,22.30884584683655,3.7667912656115104e-110,7.331754841778545e-103,True,0.7828955,2
neuron_neuron,L0N432,0,432,L1N1303,1,1303,0.78475255,0.78475255,22.29919663887252,4.266806360713952e-110,8.053327343685588e-103,True,0.78475255,1
neuron_neuron,L1N2401,1,2401,L3N1751,3,1751,0.7815353,0.7815353,22.270142919974205,9.764398043206216e-110,1.7887634661401415e-102,True,0.7815353,2
neuron_neuron,L0N2898,0,2898,L1N2882,1,2882,0.7856406,-0.7856406,-22.254054798481803,1.0887171470446593e-109,1.8836444074461763e-102,True,0.7856406,1
neuron_neuron,L0N1993,0,1993,L1N1303,1,1303,0.785566,-0.785566,-22.251937629874217,1.0887171470446593e-109,1.8836444074461763e-102,True,0.785566,1
neuron_neuron,L0N968,0,968,L1N1303,1,1303,0.78221667,0.78221667,22.22725179988709,2.0745775614110439e-109,3.492322246416981e-102,True,0.78221667,1
neuron_neuron,L0N1871,0,1871,L1N1303,1,1303,0.7843431,-0.7843431,-22.217244474001024,2.8086565243165784e-109,4.6036404085347814e-102,True,0.7843431,1
neuron_neuron,L0N2852,0,2852,L2N110,2,110,0.77927107,0.77927107,22.20571492761457,3.467233438643488e-109,5.537386449934529e-102,True,0.77927107,2
neuron_neuron,L10N1692,10,1692,L11N802,11,802,0.7824631,-0.7824631,-22.16390602973546,9.909604290940781e-109,1.5430595245031618e-101,True,0.7824631,1
neuron_neuron,L1N73,1,73,L4N919,4,919,0.7767082,0.7767082,22.15195605882344,1.09984825152972e-108,1.670841563991318e-101,True,0.7767082,3
neuron_neuron,L1N224,1,224,L2N2769,2,2769,0.7785893,0.7785893,22.12434083347186,1.8828940250884444e-108,2.7923055862837557e-101,True,0.7785893,1
neuron_neuron,L0N1150,0,1150,L1N2882,1,2882,0.7782752,0.7782752,22.11542910938082,2.5782172287480573e-108,3.7345425233905195e-101,True,0.7782752,1
neuron_neuron,L1N2882,1,2882,L2N110,2,110,0.77858955,-0.77858955,-22.054011112561973,8.931536228251984e-108,1.2643282618301994e-100,True,0.77858955,1
neuron_neuron,L0N101,0,101,L2N2769,2,2769,0.77650166,-0.77650166,-22.06272504170972,9.543130374785468e-108,1.320884066814978e-100,True,0.77650166,2
neuron_neuron,L1N429,1,429,L2N1295,2,1295,0.77678144,-0.77678144,-22.00271374058823,3.123549108022163e-107,4.2293815346067567e-100,True,0.77678144,1
neuron_neuron,L0N2418,0,2418,L1N1303,1,1303,0.77619433,-0.77619433,-21.986057102581263,4.2693421289316985e-107,5.657824334380617e-100,True,0.77619433,1
neuron_neuron,L0N1150,0,1150,L2N110,2,110,0.7735147,-0.7735147,-21.977732939437463,6.266655646702852e-107,8.1316925803539e-100,True,0.7735147,2
neuron_neuron,L1N1120,1,1120,L10N900,10,900,0.77685374,-0.77685374,-21.969765961600057,6.747667526281591e-107,8.577168736895343e-100,True,0.77685374,9
neuron_neuron,L0N323,0,323,L2N2135,2,2135,0.7730268,-0.7730268,-21.96385110524078,8.569453032204263e-107,1.067503866584358e-99,True,0.7730268,2
neuron_neuron,L0N2898,0,2898,L1N1303,1,1303,0.77453643,-0.77453643,-21.93902112429052,1.4870985731409187e-106,1.8161676643476636e-99,True,0.77453643,1
